account-balance,duration-of-credit-month,payment-status-of-previous-credit,purpose,credit-amount,value-savings-stocks,length-of-current-employment,most-valuable-available-asset,age-years,type-of-apartment,no-of-credits-at-this-bank,no-of-dependents
No Account,16,No Problems (in this bank),Home Related,1175,None,< 1yr,3,68,3,More than 1,1
Some Balance,12,Paid Up,Home Related,2133,£100-£1000,4-7 yrs,4,52,3,1,1
Some Balance,30,No Problems (in this bank),Home Related,4530,None,1-4 yrs,3,26,1,1,1
No Account,18,No Problems (in this bank),Home Related,1887,£100-£1000,< 1yr,1,28,2,More than 1,1
Some Balance,12,No Problems (in this bank),Home Related,1264,£100-£1000,4-7 yrs,4,57,1,1,1
Some Balance,15,No Problems (in this bank),Home Related,1532,< £100,< 1yr,3,31,2,1,1
Some Balance,6,No Problems (in this bank),Home Related,935,None,< 1yr,1,24,2,1,1
No Account,27,No Problems (in this bank),Home Related,2442,None,4-7 yrs,3,43,2,More than 1,2
No Account,39,No Problems (in this bank),Used car,14179,£100-£1000,1-4 yrs,2,30,2,More than 1,1
Some Balance,12,No Problems (in this bank),Home Related,618,None,4-7 yrs,1,56,2,1,1
Some Balance,12,Paid Up,Used car,1574,None,< 1yr,1,50,2,1,1
Some Balance,36,Paid Up,New car,4686,None,< 1yr,4,32,3,1,1
No Account,9,Paid Up,Home Related,790,£100-£1000,< 1yr,1,66,2,1,1
No Account,14,Paid Up,Home Related,3973,None,< 1yr,4,22,3,1,1
No Account,20,No Problems (in this bank),Home Related,2629,None,< 1yr,3,29,2,More than 1,1
No Account,18,Paid Up,Home Related,1941,£100-£1000,< 1yr,2,35,2,1,1
No Account,24,No Problems (in this bank),Used car,2333,£100-£1000,< 1yr,2,29,2,1,1
Some Balance,12,Paid Up,New car,2445,£100-£1000,< 1yr,3,26,1,1,1
No Account,20,Paid Up,New car,6468,£100-£1000,< 1yr,1,60,2,1,1
Some Balance,15,Paid Up,New car,3812,< £100,< 1yr,3,23,2,1,1
No Account,12,Paid Up,New car,2028,£100-£1000,< 1yr,3,30,2,1,1
Some Balance,15,Paid Up,Home Related,5324,£100-£1000,4-7 yrs,4,35,3,1,1
Some Balance,12,Paid Up,Home Related,1393,None,4-7 yrs,2,47,2,More than 1,2
Some Balance,36,Paid Up,Home Related,7409,£100-£1000,4-7 yrs,2,37,2,More than 1,1
Some Balance,15,Paid Up,Used car,2186,£100-£1000,1-4 yrs,1,33,1,1,1
Some Balance,18,Paid Up,Used car,3422,None,4-7 yrs,2,47,2,More than 1,2
No Account,18,Paid Up,Home Related,3872,None,< 1yr,3,67,2,1,1
Some Balance,27,Paid Up,Home Related,5190,£100-£1000,4-7 yrs,2,48,2,More than 1,2
No Account,18,Paid Up,Used car,3001,None,1-4 yrs,1,40,1,1,1
Some Balance,24,No Problems (in this bank),Home Related,3863,None,< 1yr,4,32,3,1,1
Some Balance,12,No Problems (in this bank),Used car,1592,£100-£1000,1-4 yrs,2,35,2,1,1
Some Balance,18,No Problems (in this bank),Used car,3780,None,< 1yr,3,35,2,More than 1,1
Some Balance,12,Paid Up,Home Related,1076,None,< 1yr,1,26,2,1,1
Some Balance,18,Paid Up,Home Related,2051,None,< 1yr,1,33,2,1,1
No Account,18,Some Problems,Home Related,3104,None,1-4 yrs,2,31,2,1,1
Some Balance,24,No Problems (in this bank),Home Related,2611,None,4-7 yrs,1,46,2,More than 1,1
No Account,12,Paid Up,Home Related,1680,£100-£1000,4-7 yrs,1,35,2,1,1
Some Balance,6,Paid Up,Home Related,1595,None,1-4 yrs,2,51,2,1,2
Some Balance,24,No Problems (in this bank),Home Related,2058,None,< 1yr,1,33,2,More than 1,1
Some Balance,24,Paid Up,New car,7814,None,1-4 yrs,3,38,2,1,1
Some Balance,6,No Problems (in this bank),Home Related,1740,None,4-7 yrs,1,30,1,More than 1,1
Some Balance,24,No Problems (in this bank),New car,6842,£100-£1000,< 1yr,2,46,2,More than 1,2
Some Balance,24,No Problems (in this bank),Used car,5150,None,4-7 yrs,3,33,2,1,1
Some Balance,6,No Problems (in this bank),Home Related,2080,£100-£1000,< 1yr,3,24,2,1,1
No Account,24,No Problems (in this bank),Home Related,3878,< £100,< 1yr,3,37,2,1,1
Some Balance,36,Paid Up,Home Related,1819,None,< 1yr,4,37,3,1,1
Some Balance,36,No Problems (in this bank),Used car,7127,None,< 1yr,2,23,1,More than 1,1
Some Balance,36,Paid Up,Used car,3349,None,< 1yr,3,28,2,1,1
Some Balance,36,Paid Up,Used car,10974,None,< 1yr,3,26,2,More than 1,1
Some Balance,6,Paid Up,Home Related,518,None,< 1yr,1,29,2,1,1
Some Balance,18,Paid Up,Home Related,1126,£100-£1000,< 1yr,1,21,1,1,1
Some Balance,18,Paid Up,Home Related,1505,None,< 1yr,4,32,3,1,1
Some Balance,4,No Problems (in this bank),Home Related,1503,None,1-4 yrs,1,42,2,More than 1,2
Some Balance,12,Paid Up,Home Related,1881,None,< 1yr,3,44,1,1,1
No Account,18,No Problems (in this bank),Home Related,1880,None,1-4 yrs,2,32,2,More than 1,1
No Account,18,Paid Up,Home Related,2389,None,< 1yr,3,27,2,1,1
Some Balance,4,No Problems (in this bank),Home Related,1455,None,1-4 yrs,1,42,2,More than 1,2
No Account,18,Some Problems,Used car,3244,None,< 1yr,3,33,2,More than 1,1
No Account,48,Paid Up,Home Related,3979,£100-£1000,1-4 yrs,3,41,2,More than 1,2
No Account,12,Paid Up,Used car,1922,None,< 1yr,2,37,2,1,1
No Account,18,No Problems (in this bank),Used car,1295,None,< 1yr,2,27,2,More than 1,1
No Account,30,Paid Up,Home Related,1715,£100-£1000,< 1yr,3,26,2,1,1
Some Balance,10,No Problems (in this bank),Home Related,1347,£100-£1000,1-4 yrs,2,27,2,More than 1,1
No Account,12,Paid Up,Home Related,1007,£100-£1000,< 1yr,1,22,2,1,1
Some Balance,12,No Problems (in this bank),Home Related,2096,None,1-4 yrs,1,49,2,1,2
Some Balance,12,Paid Up,Home Related,1101,None,< 1yr,1,27,2,More than 1,1
Some Balance,10,Paid Up,Home Related,894,£100-£1000,1-4 yrs,2,40,2,1,1
No Account,48,Some Problems,Home Related,8358,£100-£1000,< 1yr,3,30,2,More than 1,1
No Account,60,Paid Up,Home Related,7408,< £100,< 1yr,2,24,2,1,1
No Account,36,No Problems (in this bank),Home Related,9857,< £100,1-4 yrs,2,31,2,More than 1,2
Some Balance,12,No Problems (in this bank),Used car,1935,None,4-7 yrs,1,43,2,More than 1,1
Some Balance,48,Paid Up,Home Related,10222,£100-£1000,1-4 yrs,3,37,2,1,1
Some Balance,36,Paid Up,Home Related,9055,£100-£1000,< 1yr,4,35,3,1,2
No Account,30,Some Problems,Used car,3496,£100-£1000,< 1yr,3,34,2,1,2
No Account,36,Paid Up,Used car,3446,None,4-7 yrs,3,42,2,1,2
No Account,12,Paid Up,Home Related,684,None,< 1yr,3,40,1,1,2
No Account,24,Paid Up,Used car,2359,< £100,< 1yr,2,33,2,1,1
Some Balance,24,Paid Up,Home Related,3621,< £100,4-7 yrs,3,31,2,More than 1,1
No Account,12,Paid Up,Home Related,741,< £100,< 1yr,2,22,2,1,1
No Account,12,Paid Up,Used car,7865,None,4-7 yrs,4,53,3,1,1
No Account,18,No Problems (in this bank),Home Related,5302,None,4-7 yrs,4,36,3,More than 1,1
No Account,18,Paid Up,Home Related,3509,None,1-4 yrs,1,25,2,1,1
No Account,12,Paid Up,Used car,1657,None,< 1yr,1,27,2,1,1
No Account,36,No Problems (in this bank),Used car,6229,None,< 1yr,4,23,1,More than 1,1
No Account,30,Some Problems,Used car,4583,None,< 1yr,1,32,2,More than 1,1
No Account,36,No Problems (in this bank),Used car,5371,None,< 1yr,2,28,2,More than 1,1
No Account,36,Paid Up,Used car,2712,None,4-7 yrs,2,41,2,1,2
No Account,6,No Problems (in this bank),Used car,1050,None,< 1yr,2,35,2,More than 1,1
No Account,6,No Problems (in this bank),Home Related,609,None,1-4 yrs,2,37,2,More than 1,1
No Account,24,Paid Up,Used car,3069,< £100,4-7 yrs,4,30,3,1,1
No Account,12,Paid Up,Home Related,836,< £100,< 1yr,2,23,2,1,1
No Account,15,Paid Up,Used car,1845,None,< 1yr,2,46,1,1,1
No Account,24,Paid Up,New car,6579,None,< 1yr,4,29,3,1,1
No Account,30,Paid Up,Used car,3108,None,< 1yr,2,31,2,1,1
Some Balance,24,No Problems (in this bank),Home Related,6314,None,< 1yr,4,27,2,More than 1,1
No Account,12,Paid Up,Used car,3590,None,< 1yr,2,29,2,1,2
No Account,6,No Problems (in this bank),Used car,1872,None,< 1yr,4,36,3,More than 1,1
Some Balance,6,Paid Up,Home Related,1238,£100-£1000,< 1yr,2,36,2,1,2
No Account,12,Paid Up,Used car,2578,None,< 1yr,4,55,3,1,1
No Account,15,No Problems (in this bank),Used car,1433,None,< 1yr,2,25,1,More than 1,1
No Account,42,Paid Up,Used car,7882,None,1-4 yrs,2,45,3,1,2
No Account,24,Paid Up,Used car,4169,None,< 1yr,2,28,2,1,1
No Account,36,Paid Up,Used car,3959,None,< 1yr,2,30,2,1,1
No Account,36,Paid Up,Home Related,3249,None,1-4 yrs,4,39,3,1,2
No Account,24,Paid Up,Used car,3149,None,< 1yr,4,22,3,1,1
No Account,13,No Problems (in this bank),Home Related,1797,None,< 1yr,2,28,2,More than 1,1
No Account,20,No Problems (in this bank),Used car,4272,None,4-7 yrs,2,24,2,More than 1,1
