credit-application-result,account-balance,duration-of-credit-month,payment-status-of-previous-credit,purpose,credit-amount,value-savings-stocks,length-of-current-employment,installment-per-cent,most-valuable-available-asset,age-years,type-of-apartment,no-of-credits-at-this-bank
Creditworthy,No Account,9,Paid Up,Home Related,1364,None,1-4 yrs,3,1,59.0,2,1
Creditworthy,Some Balance,9,Paid Up,Used car,1388,None,< 1yr,4,1,26.0,1,1
Creditworthy,No Account,9,Paid Up,Home Related,1391,None,< 1yr,2,1,27.0,2,1
Non-Creditworthy,No Account,9,Some Problems,Home Related,1437,< £100,1-4 yrs,2,4,29.0,2,1
Creditworthy,Some Balance,9,Paid Up,Home Related,1449,None,1-4 yrs,3,3,27.0,2,More than 1
Non-Creditworthy,No Account,9,No Problems (in this bank),Home Related,1501,None,4-7 yrs,2,3,34.0,2,More than 1
Creditworthy,No Account,9,Paid Up,Other,1549,£100-£1000,< 1yr,4,1,33.0,2,1
Creditworthy,No Account,9,Paid Up,Home Related,1549,£100-£1000,< 1yr,4,1,35.0,2,1
Non-Creditworthy,No Account,9,Paid Up,Home Related,1670,None,< 1yr,4,3,22.0,2,1
Creditworthy,No Account,9,No Problems (in this bank),Used car,1919,None,1-4 yrs,4,3,35.0,1,1
Creditworthy,No Account,9,Paid Up,Used car,2030,£100-£1000,1-4 yrs,2,3,24.0,2,1
Creditworthy,Some Balance,9,No Problems (in this bank),Home Related,2134,None,< 1yr,4,3,48.0,2,More than 1
Creditworthy,Some Balance,9,No Problems (in this bank),Used car,2406,None,< 1yr,2,3,31.0,2,1
Creditworthy,Some Balance,9,Paid Up,Home Related,2697,None,< 1yr,1,1,32.0,2,1
Creditworthy,No Account,9,Paid Up,Home Related,3195,£100-£1000,< 1yr,1,1,33.0,2,1
Non-Creditworthy,No Account,9,Some Problems,New car,5129,None,4-7 yrs,2,4,74.0,3,1
Creditworthy,Some Balance,10,Paid Up,Home Related,1225,None,< 1yr,2,3,37.0,2,1
Non-Creditworthy,Some Balance,10,Paid Up,Home Related,1240,< £100,4-7 yrs,1,4,48.0,3,1
Creditworthy,Some Balance,10,Paid Up,Used car,1275,None,< 1yr,4,2,23.0,2,1
Non-Creditworthy,Some Balance,10,Paid Up,Home Related,1309,£100-£1000,< 1yr,4,2,27.0,2,1
Creditworthy,Some Balance,10,Paid Up,Home Related,1364,None,< 1yr,2,3,64.0,2,1
Creditworthy,Some Balance,10,Paid Up,Home Related,1546,None,< 1yr,3,1,31.0,2,1
Creditworthy,No Account,10,No Problems (in this bank),Home Related,2241,None,< 1yr,1,1,48.0,1,More than 1
Creditworthy,No Account,10,Paid Up,Home Related,2315,None,4-7 yrs,3,1,52.0,2,1
Creditworthy,Some Balance,10,Paid Up,New car,2901,£100-£1000,< 1yr,1,1,31.0,1,1
Creditworthy,Some Balance,10,Paid Up,Home Related,3949,None,< 1yr,1,2,37.0,2,1
Creditworthy,No Account,10,Paid Up,Home Related,7308,None,< 1yr,2,4,70.0,3,1
Creditworthy,Some Balance,11,No Problems (in this bank),Home Related,1154,< £100,< 1yr,4,1,57.0,2,More than 1
Creditworthy,No Account,11,No Problems (in this bank),Home Related,1322,£100-£1000,< 1yr,4,3,40.0,2,More than 1
Creditworthy,No Account,11,Paid Up,Used car,1577,£100-£1000,< 1yr,4,1,20.0,2,1
Creditworthy,Some Balance,11,Paid Up,Home Related,2142,£100-£1000,4-7 yrs,1,1,28.0,2,1
Creditworthy,No Account,11,No Problems (in this bank),Home Related,3939,None,< 1yr,1,1,40.0,2,More than 1
Creditworthy,No Account,12,Some Problems,Home Related,339,None,4-7 yrs,4,3,45.0,2,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,385,None,1-4 yrs,4,1,58.0,2,More than 1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,585,None,< 1yr,4,1,20.0,1,More than 1
Creditworthy,No Account,12,Paid Up,Home Related,625,None,< 1yr,4,1,26.0,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,639,None,< 1yr,4,3,30.0,2,1
Creditworthy,No Account,12,Paid Up,Used car,652,None,4-7 yrs,4,2,24.0,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,674,< £100,1-4 yrs,4,2,20.0,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,682,< £100,1-4 yrs,4,3,51.0,2,More than 1
Non-Creditworthy,No Account,12,Some Problems,Home Related,697,None,< 1yr,4,3,46.0,2,More than 1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,701,None,< 1yr,4,3,32.0,2,More than 1
Creditworthy,No Account,12,Paid Up,Home Related,701,None,< 1yr,4,1,40.0,2,1
Creditworthy,No Account,12,Paid Up,Used car,708,None,< 1yr,2,2,38.0,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,717,None,4-7 yrs,4,1,52.0,2,More than 1
Non-Creditworthy,Some Balance,12,Paid Up,Home Related,719,None,4-7 yrs,4,3,41.0,2,1
Creditworthy,No Account,12,Paid Up,Home Related,754,£100-£1000,4-7 yrs,4,2,38.0,2,More than 1
Non-Creditworthy,No Account,12,Paid Up,Home Related,759,None,1-4 yrs,4,1,26.0,2,1
Creditworthy,Some Balance,12,Paid Up,Used car,763,None,< 1yr,4,1,26.0,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,766,£100-£1000,< 1yr,4,1,66.0,2,1
Non-Creditworthy,Some Balance,12,No Problems (in this bank),Other,797,£100-£1000,4-7 yrs,4,2,33.0,2,1
Non-Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,797,£100-£1000,4-7 yrs,4,2,33.0,2,1
Creditworthy,No Account,12,Paid Up,Home Related,841,< £100,1-4 yrs,2,1,23.0,1,1
Creditworthy,Some Balance,12,Paid Up,Home Related,886,£100-£1000,< 1yr,4,3,21.0,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,888,None,4-7 yrs,4,3,41.0,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,900,£100-£1000,< 1yr,4,3,23.0,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,902,None,1-4 yrs,4,2,21.0,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,926,None,< 1yr,1,2,38.0,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Other,930,£100-£1000,4-7 yrs,4,1,33.0,2,More than 1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,930,£100-£1000,4-7 yrs,4,1,65.0,2,More than 1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,958,None,1-4 yrs,2,1,47.0,2,More than 1
Creditworthy,No Account,12,Paid Up,Used car,983,£100-£1000,< 1yr,1,1,19.0,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,996,£100-£1000,1-4 yrs,4,1,23.0,2,More than 1
Creditworthy,No Account,12,Paid Up,Home Related,1037,< £100,1-4 yrs,3,1,39.0,2,1
Creditworthy,No Account,12,Paid Up,Home Related,1103,None,1-4 yrs,4,1,29.0,2,More than 1
Creditworthy,No Account,12,Paid Up,Home Related,1107,None,< 1yr,2,1,20.0,1,1
Non-Creditworthy,No Account,12,Some Problems,Home Related,1108,None,1-4 yrs,4,1,28.0,2,More than 1
Non-Creditworthy,Some Balance,12,Paid Up,Used car,1123,£100-£1000,< 1yr,4,3,29.0,1,1
Creditworthy,No Account,12,Paid Up,Home Related,1158,£100-£1000,< 1yr,3,3,26.0,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,1185,None,< 1yr,3,1,27.0,2,More than 1
Creditworthy,No Account,12,Paid Up,Home Related,1200,£100-£1000,< 1yr,4,2,23.0,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,1223,None,4-7 yrs,1,1,46.0,1,More than 1
Non-Creditworthy,No Account,12,Paid Up,Home Related,1228,None,< 1yr,4,1,24.0,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,1240,£100-£1000,4-7 yrs,4,1,38.0,2,More than 1
Creditworthy,Some Balance,12,No Problems (in this bank),Used car,1258,None,< 1yr,2,2,22.0,1,More than 1
Creditworthy,Some Balance,12,Paid Up,Home Related,1262,None,< 1yr,3,3,25.0,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,1274,None,< 1yr,3,1,37.0,2,1
Creditworthy,No Account,12,Paid Up,Used car,1289,None,< 1yr,4,2,21.0,2,1
Creditworthy,No Account,12,Paid Up,Home Related,1318,£100-£1000,4-7 yrs,4,1,54.0,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,1330,None,< 1yr,4,1,26.0,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,1331,None,< 1yr,2,3,22.0,2,1
Non-Creditworthy,Some Balance,12,Paid Up,Home Related,1386,£100-£1000,< 1yr,2,2,26.0,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Other,1402,£100-£1000,1-4 yrs,3,3,33.0,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Used car,1402,£100-£1000,1-4 yrs,3,3,37.0,1,1
Creditworthy,No Account,12,No Problems (in this bank),New car,1409,None,4-7 yrs,4,1,54.0,2,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,1424,None,1-4 yrs,4,2,26.0,2,1
Creditworthy,Some Balance,12,Paid Up,Used car,1424,£100-£1000,4-7 yrs,3,1,55.0,2,1
Creditworthy,Some Balance,12,Paid Up,Used car,1474,None,< 1yr,4,2,33.0,2,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,1484,£100-£1000,< 1yr,2,1,25.0,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,1493,None,< 1yr,4,3,34.0,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),New car,1503,None,< 1yr,4,1,41.0,1,1
Creditworthy,No Account,12,No Problems (in this bank),New car,1526,None,4-7 yrs,4,4,66.0,3,More than 1
Non-Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,1555,£100-£1000,4-7 yrs,4,4,55.0,3,More than 1
Creditworthy,No Account,12,Paid Up,Used car,1620,None,< 1yr,2,2,30.0,2,1
Creditworthy,Some Balance,12,Paid Up,Other,1736,None,1-4 yrs,3,1,33.0,2,1
Creditworthy,Some Balance,12,Paid Up,Used car,1736,None,1-4 yrs,3,1,31.0,2,1
Creditworthy,No Account,12,Paid Up,Used car,1858,None,< 1yr,4,3,22.0,1,1
Creditworthy,No Account,12,No Problems (in this bank),New car,1860,None,< 1yr,4,3,34.0,2,More than 1
Creditworthy,Some Balance,12,Paid Up,Home Related,1884,None,4-7 yrs,4,3,39.0,2,1
Creditworthy,No Account,12,Paid Up,Home Related,1893,None,< 1yr,4,2,29.0,2,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,1995,< £100,< 1yr,4,3,27.0,2,1
Creditworthy,No Account,12,Paid Up,Home Related,2002,None,1-4 yrs,3,2,30.0,1,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,2012,£100-£1000,1-4 yrs,4,3,61.0,2,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,2121,None,< 1yr,4,2,30.0,2,More than 1
Creditworthy,Some Balance,12,Paid Up,Home Related,2141,< £100,1-4 yrs,3,4,35.0,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,2171,None,< 1yr,2,3,29.0,2,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,2171,None,< 1yr,4,2,38.0,2,More than 1
Non-Creditworthy,No Account,12,No Problems (in this bank),Used car,2246,None,4-7 yrs,3,2,60.0,2,More than 1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,2247,None,< 1yr,2,3,36.0,2,More than 1
Creditworthy,Some Balance,12,Paid Up,Home Related,2279,£100-£1000,< 1yr,4,4,37.0,3,1
Non-Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,2292,None,< 1yr,4,3,42.0,2,More than 1
Creditworthy,No Account,12,Paid Up,Used car,2577,None,< 1yr,2,3,42.0,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Home Related,2748,None,4-7 yrs,2,4,57.0,3,More than 1
Creditworthy,Some Balance,12,Paid Up,Home Related,2859,£100-£1000,< 1yr,4,4,38.0,2,1
Creditworthy,No Account,12,Paid Up,Home Related,2930,None,1-4 yrs,2,1,27.0,2,1
Creditworthy,No Account,12,Paid Up,Other,3017,None,< 1yr,3,1,33.0,1,1
Creditworthy,No Account,12,Paid Up,Used car,3017,None,< 1yr,3,1,34.0,1,1
Creditworthy,No Account,12,No Problems (in this bank),Home Related,3124,None,< 1yr,1,1,49.0,2,More than 1
Creditworthy,Some Balance,12,No Problems (in this bank),Used car,3331,None,4-7 yrs,2,2,42.0,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,3399,£100-£1000,4-7 yrs,2,3,37.0,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,3527,£100-£1000,< 1yr,2,2,45.0,2,1
Creditworthy,Some Balance,12,No Problems (in this bank),Used car,5801,£100-£1000,4-7 yrs,2,2,49.0,1,1
Non-Creditworthy,No Account,12,Paid Up,Home Related,6468,£100-£1000,< 1yr,2,4,52.0,2,1
Creditworthy,No Account,12,Paid Up,Home Related,7472,£100-£1000,< 1yr,1,1,24.0,1,1
Creditworthy,Some Balance,13,Paid Up,Home Related,1409,< £100,< 1yr,2,1,64.0,2,1
Creditworthy,No Account,14,Paid Up,Home Related,1410,£100-£1000,4-7 yrs,1,1,35.0,2,1
Non-Creditworthy,No Account,14,Paid Up,Home Related,8978,None,4-7 yrs,1,2,45.0,2,1
Non-Creditworthy,No Account,15,Some Problems,Home Related,950,None,4-7 yrs,4,3,33.0,1,More than 1
Creditworthy,Some Balance,15,No Problems (in this bank),Used car,960,£100-£1000,1-4 yrs,3,2,30.0,2,More than 1
Creditworthy,No Account,15,No Problems (in this bank),Used car,975,None,< 1yr,2,2,25.0,2,More than 1
Creditworthy,Some Balance,15,Paid Up,New car,1300,£100-£1000,4-7 yrs,4,4,45.0,3,1
Creditworthy,No Account,15,Paid Up,Home Related,1308,None,4-7 yrs,4,3,38.0,2,More than 1
Creditworthy,Some Balance,15,No Problems (in this bank),Home Related,1360,None,< 1yr,4,2,31.0,2,More than 1
Creditworthy,Some Balance,15,Paid Up,Home Related,1386,£100-£1000,< 1yr,4,1,40.0,1,1
Creditworthy,Some Balance,15,No Problems (in this bank),Home Related,1471,None,< 1yr,4,4,35.0,3,More than 1
Non-Creditworthy,No Account,15,No Problems (in this bank),Home Related,1512,£100-£1000,< 1yr,3,2,61.0,2,More than 1
Creditworthy,Some Balance,15,No Problems (in this bank),Used car,1520,£100-£1000,4-7 yrs,4,2,63.0,2,1
Non-Creditworthy,No Account,15,Some Problems,Home Related,1778,None,< 1yr,2,1,26.0,1,More than 1
Creditworthy,Some Balance,15,No Problems (in this bank),Home Related,1829,None,4-7 yrs,4,3,46.0,2,More than 1
Creditworthy,Some Balance,15,Paid Up,Home Related,1905,None,4-7 yrs,4,3,40.0,1,1
Creditworthy,Some Balance,15,Paid Up,Used car,2221,£100-£1000,< 1yr,2,3,20.0,1,1
Creditworthy,No Account,15,No Problems (in this bank),Home Related,2326,£100-£1000,< 1yr,2,3,27.0,2,1
Non-Creditworthy,Some Balance,15,Paid Up,Home Related,2327,None,< 1yr,2,1,25.0,2,1
Creditworthy,No Account,15,Paid Up,Home Related,2511,None,< 1yr,1,3,23.0,1,1
Non-Creditworthy,No Account,15,Paid Up,Home Related,2631,< £100,< 1yr,2,3,28.0,1,More than 1
Creditworthy,Some Balance,15,Paid Up,Home Related,2687,None,1-4 yrs,2,2,26.0,1,1
Creditworthy,Some Balance,15,No Problems (in this bank),Used car,2788,None,1-4 yrs,2,3,24.0,2,More than 1
Creditworthy,Some Balance,15,Paid Up,Home Related,3186,£100-£1000,1-4 yrs,2,3,20.0,1,1
Creditworthy,Some Balance,15,No Problems (in this bank),Used car,3343,None,< 1yr,4,4,28.0,3,1
Creditworthy,Some Balance,15,No Problems (in this bank),New car,3594,None,< 1yr,1,2,46.0,2,More than 1
Creditworthy,Some Balance,15,Paid Up,New car,4657,None,< 1yr,3,3,30.0,2,1
Non-Creditworthy,No Account,16,No Problems (in this bank),Home Related,2625,None,4-7 yrs,2,2,43.0,1,1
Creditworthy,No Account,18,Paid Up,Home Related,866,None,< 1yr,4,1,25.0,2,1
Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,1028,None,< 1yr,4,1,36.0,2,More than 1
Creditworthy,No Account,18,No Problems (in this bank),Used car,1049,None,< 1yr,4,2,21.0,1,1
Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,1055,None,< 1yr,4,2,30.0,2,More than 1
Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,1098,None,< 1yr,4,3,65.0,2,More than 1
Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,1149,£100-£1000,< 1yr,4,1,46.0,2,More than 1
Non-Creditworthy,No Account,18,Paid Up,Home Related,1216,None,< 1yr,4,3,23.0,1,1
Non-Creditworthy,No Account,18,Paid Up,Home Related,1217,None,< 1yr,4,1,47.0,2,1
Creditworthy,No Account,18,Paid Up,Home Related,1301,None,4-7 yrs,4,1,32.0,2,1
Non-Creditworthy,No Account,18,Paid Up,Home Related,1345,None,< 1yr,4,1,26.0,2,1
Non-Creditworthy,No Account,18,Some Problems,Home Related,1442,None,1-4 yrs,4,4,32.0,3,More than 1
Creditworthy,Some Balance,18,Paid Up,Home Related,1453,None,< 1yr,3,1,26.0,2,1
Creditworthy,Some Balance,18,Paid Up,Home Related,1473,None,< 1yr,3,1,39.0,2,1
Non-Creditworthy,Some Balance,18,Paid Up,Used car,1533,None,< 1yr,4,2,43.0,2,1
Non-Creditworthy,No Account,18,Some Problems,Used car,1553,None,< 1yr,4,3,44.0,2,1
Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,1582,£100-£1000,4-7 yrs,4,3,46.0,2,More than 1
Creditworthy,No Account,18,No Problems (in this bank),Home Related,1795,None,4-7 yrs,3,1,48.0,1,More than 1
Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,1800,None,< 1yr,4,3,24.0,2,More than 1
Non-Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,1864,< £100,< 1yr,4,1,30.0,2,More than 1
Non-Creditworthy,No Account,18,No Problems (in this bank),Used car,1928,None,< 1yr,2,1,31.0,2,More than 1
Creditworthy,No Account,18,Paid Up,Home Related,1936,£100-£1000,1-4 yrs,2,3,23.0,1,More than 1
Creditworthy,Some Balance,18,Paid Up,Home Related,1961,None,4-7 yrs,3,3,23.0,2,1
Creditworthy,Some Balance,18,Paid Up,Used car,1984,None,< 1yr,4,4,47.0,3,More than 1
Non-Creditworthy,No Account,18,Paid Up,Used car,2039,None,< 1yr,1,1,20.0,1,1
Non-Creditworthy,Some Balance,18,Paid Up,Home Related,2100,None,< 1yr,4,1,37.0,2,1
Non-Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,2169,None,< 1yr,4,3,28.0,2,1
Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,2238,None,< 1yr,2,3,25.0,2,More than 1
Creditworthy,No Account,18,Paid Up,Home Related,2249,< £100,1-4 yrs,4,3,30.0,2,1
Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,2404,None,< 1yr,2,3,26.0,2,More than 1
Creditworthy,Some Balance,18,Paid Up,Used car,2515,None,< 1yr,3,1,43.0,2,1
Creditworthy,No Account,18,Paid Up,Home Related,2622,< £100,< 1yr,4,3,34.0,2,1
Non-Creditworthy,Some Balance,18,No Problems (in this bank),Home Related,2775,None,1-4 yrs,2,2,31.0,2,More than 1
Non-Creditworthy,Some Balance,18,Paid Up,Used car,2864,None,< 1yr,2,1,34.0,2,1
Creditworthy,No Account,18,No Problems (in this bank),Home Related,2899,£100-£1000,4-7 yrs,4,3,43.0,2,1
Creditworthy,No Account,18,Paid Up,Home Related,3213,£100-£1000,< 1yr,1,1,25.0,1,1
Creditworthy,No Account,18,No Problems (in this bank),Home Related,3590,None,< 1yr,3,3,40.0,2,More than 1
Creditworthy,No Account,18,No Problems (in this bank),Used car,3612,None,4-7 yrs,3,2,37.0,2,1
Creditworthy,No Account,18,Paid Up,Used car,3650,None,< 1yr,1,3,22.0,1,1
Creditworthy,Some Balance,18,No Problems (in this bank),New car,3850,None,1-4 yrs,3,3,27.0,2,More than 1
Non-Creditworthy,No Account,18,No Problems (in this bank),Used car,4297,None,4-7 yrs,4,4,40.0,2,1
Creditworthy,No Account,18,Paid Up,Home Related,4380,< £100,< 1yr,3,3,35.0,2,1
Creditworthy,No Account,18,Paid Up,Home Related,4439,None,4-7 yrs,1,1,33.0,2,1
Creditworthy,Some Balance,18,Paid Up,Home Related,4594,None,< 1yr,3,3,32.0,2,1
Creditworthy,No Account,18,No Problems (in this bank),Used car,7374,None,< 1yr,4,2,40.0,2,More than 1
Non-Creditworthy,No Account,18,Paid Up,New car,7511,£100-£1000,4-7 yrs,1,2,51.0,3,1
Creditworthy,No Account,20,Paid Up,Used car,2212,£100-£1000,1-4 yrs,4,3,39.0,2,1
Non-Creditworthy,No Account,20,No Problems (in this bank),Other,2235,None,< 1yr,4,2,33.0,1,More than 1
Non-Creditworthy,No Account,20,No Problems (in this bank),Home Related,2235,None,< 1yr,4,2,33.0,1,More than 1
Creditworthy,Some Balance,20,No Problems (in this bank),Home Related,3485,£100-£1000,< 1yr,2,1,44.0,2,More than 1
Creditworthy,No Account,21,No Problems (in this bank),Home Related,571,None,4-7 yrs,4,1,65.0,2,More than 1
